"leukemia, lymphocytic, chronic, b-cell",-0.11638355,-0.07453115,0.015892591,-0.18849207,0.17211969,-0.14744802,0.08199968,0.1419268,-0.00040041655,-0.3010702,-0.064642385,-0.20797305,0.02217336,-0.13131721,-0.15289116,0.046051633,0.15471497,0.101305194,0.1601965,0.029298302,0.042471323,-0.03147915,-0.2107914,0.24745555,-0.25773066,0.1905256,-0.07841737,-0.212304,0.15005791,0.026156373,-0.24818254,-0.33806,-0.154877,0.05231714,0.06331962,0.06701345,-0.13063866,-0.16208974,-0.26783082,0.30230075,0.03259725,-0.12298714,0.16736592,0.11187578,0.3036213,0.23556034,0.021380335,0.1760289,-0.10265794,-0.1555258,-0.3362427,-0.04642256,0.11455564,0.29668096,-0.044490922,-0.10500265,-0.02683923,0.59462094,0.17744966,-0.07220309,0.1350106,0.3388638,-0.014558998,0.06496752
colon neoplasms,-0.016532667,-0.014264982,0.017449804,0.01630505,-0.014817781,0.0010525824,-0.022829639,0.008093736,0.00728721,0.010970571,-0.018974705,-0.007113668,0.0035977513,0.017341726,-0.0053774156,0.014449953,-0.012173153,-0.00061949226,-0.040225044,-0.008195981,0.0072197393,0.0029451074,-0.009022417,-0.007127734,0.028651634,0.01393006,-0.011089839,-0.009657569,-0.002889472,0.011896961,0.0028561852,0.0021326547,0.014478011,-0.015631367,0.021963585,-0.008400988,0.018482644,-0.008970244,0.015571907,-0.022316808,-0.008769412,0.007421281,-0.023050655,0.015018474,-0.017337553,-0.004347313,0.0036488678,0.0030000121,-0.01707891,0.029232748,-0.009751982,-0.0018952058,-0.005486267,0.0038061328,0.018751828,-0.006481187,0.0049200277,0.009325054,-0.0014411267,0.0072347894,0.0035144738,0.0016647469,0.01705058,0.014978596
breast neoplasms,-0.0023700665,-0.11526789,0.062095556,0.0072427597,0.18330015,-0.046145923,-0.055490542,0.1286422,-0.006567184,-0.30620885,-0.01413521,-0.019787395,-0.0018766979,-0.15504152,-0.14036918,0.11104659,0.06365387,0.16133565,0.12380991,0.075541764,-0.022533126,-0.16726476,-0.24005722,0.1659307,-0.18466045,0.14635935,-0.039409783,-0.15053925,0.10782136,0.00095233973,-0.2018643,-0.29972976,-0.19424042,0.09966436,-0.029902697,0.00902687,-0.1334589,-0.2062841,-0.26635158,0.2231308,-0.034676727,-0.15733384,0.056734513,0.044323448,0.25005794,0.20707309,0.030662425,-0.08554486,-0.0628779,-0.13191971,-0.21403554,0.1004238,-0.0462203,0.08417175,0.09786527,-0.120560735,-0.15742302,0.5249537,0.1341855,0.21691845,0.18493553,0.22423808,0.092952386,-0.12796286
leukemia,-0.006967488,-0.10705711,0.12996247,-0.18043154,0.33925986,-0.19426371,0.160172,0.27249107,-0.019345436,-0.38053977,0.037478678,-0.21359076,0.04779966,-0.1901489,-0.32812947,0.15665346,0.26200792,0.21879947,0.22569801,0.05034393,-0.019991871,-0.14835106,-0.20754491,0.18787938,-0.37793648,0.27830744,-0.09433563,-0.22566304,0.18770288,-0.063577734,-0.2890551,-0.4841674,-0.27672058,0.17130977,-0.028748538,0.038506806,-0.27977017,-0.2722495,-0.38521227,0.36609772,-0.073575385,-0.20645139,0.17670868,0.17978449,0.41586617,0.31125423,0.054316953,0.06375879,-0.17907096,-0.19801784,-0.33119226,-0.08697857,0.07542157,0.39610502,0.08554175,-0.122056164,-0.07595224,0.7627172,0.21443143,0.04519882,0.15801065,0.32643166,0.018969838,0.011758638
lung neoplasms,-0.032545894,-0.05614136,0.05667645,0.017661814,0.084300846,-0.014546363,-0.041553024,0.11915062,0.042360295,-0.11699302,-0.008590255,-0.0115849245,0.055398334,-0.061567977,-0.07916057,0.07151165,0.010788155,0.08374441,0.038328666,0.009355117,0.02699425,-0.05668574,-0.13710538,0.09950484,-0.07456525,0.055872194,-0.030395191,-0.10400944,0.019105554,0.012509084,-0.07932324,-0.12603432,-0.03474745,0.06420455,0.0026030242,-0.03580565,-0.012450253,-0.11049282,-0.10647089,0.08398447,-0.033093825,-0.038906656,0.0049012275,0.052349128,0.122542635,0.11816478,0.037547812,-0.05153375,-0.021841552,-0.01421633,-0.132603,0.009244854,-0.031949647,0.063207746,0.08166708,-0.051236358,-0.07804849,0.27435595,0.044709425,0.08319927,0.071301885,0.11241038,0.0534041,-0.05974624
colorectal carcinoma,-0.016532667,-0.014264982,0.017449804,0.01630505,-0.014817781,0.0010525824,-0.022829639,0.008093736,0.00728721,0.010970571,-0.018974705,-0.007113668,0.0035977513,0.017341726,-0.0053774156,0.014449953,-0.012173153,-0.00061949226,-0.040225044,-0.008195981,0.0072197393,0.0029451074,-0.009022417,-0.007127734,0.028651634,0.01393006,-0.011089839,-0.009657569,-0.002889472,0.011896961,0.0028561852,0.0021326547,0.014478011,-0.015631367,0.021963585,-0.008400988,0.018482644,-0.008970244,0.015571907,-0.022316808,-0.008769412,0.007421281,-0.023050655,0.015018474,-0.017337553,-0.004347313,0.0036488678,0.0030000121,-0.01707891,0.029232748,-0.009751982,-0.0018952058,-0.005486267,0.0038061328,0.018751828,-0.006481187,0.0049200277,0.009325054,-0.0014411267,0.0072347894,0.0035144738,0.0016647469,0.01705058,0.014978596
"leukemia, promyelocytic, acute",-0.018711332,-0.03981839,0.059649237,-0.055629775,0.14657187,-0.075282395,0.03859265,0.12283366,-0.016230281,-0.16031963,0.026290717,-0.046212368,-0.0073337117,-0.05387731,-0.11543862,0.05346726,0.12699214,0.0932882,0.08975994,0.040937483,0.00950341,-0.066909,-0.08370179,0.09208979,-0.16214038,0.11319007,-0.023021463,-0.1240168,0.10601741,-0.030486975,-0.1283169,-0.23787774,-0.1314621,0.046261694,-0.00081993267,0.0016645417,-0.12881061,-0.104761526,-0.14283383,0.14318901,-0.022268109,-0.071251675,0.07463794,0.08904262,0.16480662,0.16046894,0.0141402,0.02928395,-0.07345792,-0.074999005,-0.1465862,-0.05663417,0.05086634,0.15339942,0.008081362,-0.047644444,-0.025340345,0.34656367,0.10282448,0.024774982,0.08003799,0.15060563,0.011438227,-0.01359664
neoplasms [unspecific],-0.016532667,-0.014264982,0.017449804,0.01630505,-0.014817781,0.0010525824,-0.022829639,0.008093736,0.00728721,0.010970571,-0.018974705,-0.007113668,0.0035977513,0.017341726,-0.0053774156,0.014449953,-0.012173153,-0.00061949226,-0.040225044,-0.008195981,0.0072197393,0.0029451074,-0.009022417,-0.007127734,0.028651634,0.01393006,-0.011089839,-0.009657569,-0.002889472,0.011896961,0.0028561852,0.0021326547,0.014478011,-0.015631367,0.021963585,-0.008400988,0.018482644,-0.008970244,0.015571907,-0.022316808,-0.008769412,0.007421281,-0.023050655,0.015018474,-0.017337553,-0.004347313,0.0036488678,0.0030000121,-0.01707891,0.029232748,-0.009751982,-0.0018952058,-0.005486267,0.0038061328,0.018751828,-0.006481187,0.0049200277,0.009325054,-0.0014411267,0.0072347894,0.0035144738,0.0016647469,0.01705058,0.014978596
pituitary neoplasms,-0.15846768,-0.011773005,0.12349524,-0.008740345,-0.057261836,0.08971701,-0.0055802837,0.075655825,-0.028991994,-0.20151204,-0.1865936,0.116319574,0.018944561,-0.097972915,0.036475845,-0.015412022,-0.03671243,0.061592367,0.11968488,-0.015521184,0.038746417,-0.25095022,-0.23727794,0.21117438,-0.17484224,-0.16861704,0.06591998,-0.14349309,0.0171022,0.12723422,-0.34484228,-0.31213036,-0.06867009,0.008588862,-0.0038520247,-0.0098386705,-0.09006027,-0.14143057,-0.49346668,0.049196627,-0.014618035,-0.025737723,0.08467296,-0.0014347401,0.09604795,0.2132486,0.03312479,-0.06770859,0.11021479,-0.17329895,-0.32920334,0.20230855,0.026113389,0.25422102,-0.038181458,-0.014457954,-0.049552616,0.50486255,0.13742086,0.23972438,0.17702019,0.21323396,-0.021419127,-0.19547269
"carcinoma, hepatocellular",0.030390713,-0.11814321,0.09652735,-0.036708266,0.24289504,-0.015088084,-0.009298496,0.1354021,0.022311019,-0.31540167,0.0037875716,-0.060448848,0.09734222,-0.10999054,-0.14614524,0.14342482,0.09384517,0.18462172,0.093757056,0.05569191,0.019355053,-0.19358929,-0.19432996,0.13500607,-0.17021692,0.15493906,-0.037232894,-0.11609105,0.1119774,-0.047736004,-0.24596633,-0.2598471,-0.2174968,0.15198742,-0.017485786,0.033851683,-0.12358339,-0.1731099,-0.2264565,0.24733035,-0.008828437,-0.15979998,0.020323817,0.025478743,0.28656247,0.21755901,0.033708423,-0.1064656,-0.084776565,-0.11947648,-0.19543804,0.06468198,-0.07419035,0.13103877,0.098364316,-0.10141904,-0.18220416,0.5265995,0.1603735,0.22716965,0.1939302,0.19067435,0.09266811,-0.10000516
